n,seed,val_loss,val_acc
50,0,7.679,0.2227
50,1,7.671,0.2336
50,2,7.4648,0.2335
100,0,7.9869,0.2067
100,1,8.1892,0.2129
100,2,7.8668,0.1871
200,0,8.4005,0.196
200,1,8.549,0.2055
200,2,8.4454,0.1944
300,0,8.5587,0.1903
300,1,8.6886,0.1957
300,2,8.6031,0.1861
400,0,8.7063,0.1866
400,1,8.8393,0.1852
400,2,8.6616,0.1783
500,0,8.789,0.1869
500,1,8.9924,0.1858
500,2,8.7599,0.1785
